date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
17:41:03	13918/13918	---MCZ	404	error ('Not%20Found')	text/html	date:Mon,%2024%20Mar%202025%2016:41:03%20GMT	https://moonc.net/robots.txt		(from )
17:41:04	124790/124790	---MCZ	200	added ('OK')	text/html	date:Mon,%2024%20Mar%202025%2016:41:03%20GMT	https://moonc.net/	C:/Users/Pablo/Desktop/prueba%202/prueba%202/moonc.net/index.html	(from )
17:41:04	57114/57114	---M--	200	added ('OK')	image/webp	etag:%22d61ec3bfc7d9302352b7ff059839365a%22	https://moonc.net/logo.webp	C:/Users/Pablo/Desktop/prueba%202/prueba%202/moonc.net/logo.webp	(from https://moonc.net/)
17:41:04	668754/668754	---M--	200	added ('OK')	image/png	etag:%22c63044363c0e4f72530fa0f27b85f2fe%22	https://moonc.net/announcements/moonxtermo2.png	C:/Users/Pablo/Desktop/prueba%202/prueba%202/moonc.net/announcements/moonxtermo2.png	(from https://moonc.net/)
17:41:05	5860/5860	---M--	200	added ('OK')	image/png	etag:%22eb312af00504caee3e6da919c54f8e2e%22	https://moonc.net/support_tickets_image.png	C:/Users/Pablo/Desktop/prueba%202/prueba%202/moonc.net/support_tickets_image.png	(from https://moonc.net/)
17:41:05	3258/3258	---MCZ	200	added ('OK')	text/css	etag:W/%2276474d4e1f40edb28c2e327b0169a8ae%22	https://moonc.net/_next/static/css/8392f906e0ac6fdc.css	C:/Users/Pablo/Desktop/prueba%202/prueba%202/moonc.net/_next/static/css/8392f906e0ac6fdc.css	(from https://moonc.net/)
17:41:05	195884/195884	---MCZ	200	added ('OK')	text/css	etag:W/%2256c5bd9fd181e7029a6191db75c2b273%22	https://moonc.net/_next/static/css/629e3b6367fad4ab.css	C:/Users/Pablo/Desktop/prueba%202/prueba%202/moonc.net/_next/static/css/629e3b6367fad4ab.css	(from https://moonc.net/)
17:41:06	11466/11466	---MCZ	200	added ('OK')	text/css	etag:W/%22c00e5192a495f7a8ba4148461850c582%22	https://moonc.net/_next/static/css/ed36eca7722b6547.css	C:/Users/Pablo/Desktop/prueba%202/prueba%202/moonc.net/_next/static/css/ed36eca7722b6547.css	(from https://moonc.net/)
17:41:06	4102/4102	---MCZ	200	added ('OK')	application/javascript	etag:W/%22f248060fdceaea089f9924cd4decdc12%22	https://moonc.net/_next/static/chunks/webpack-5cc082eaaea6a587.js	C:/Users/Pablo/Desktop/prueba%202/prueba%202/moonc.net/_next/static/chunks/webpack-5cc082eaaea6a587.js	(from https://moonc.net/)
17:41:06	172837/172837	---MCZ	200	added ('OK')	application/javascript	etag:W/%22a69d5e780ddfc8b6b228f594dce5b7e1%22	https://moonc.net/_next/static/chunks/fd9d1056-f98a4d52a35922c2.js	C:/Users/Pablo/Desktop/prueba%202/prueba%202/moonc.net/_next/static/chunks/fd9d1056-f98a4d52a35922c2.js	(from https://moonc.net/)
17:41:07	123887/123887	---MCZ	200	added ('OK')	application/javascript	etag:W/%224a4c4f113310c360508725998033ecac%22	https://moonc.net/_next/static/chunks/2117-9cf6ee7a1c2d55a2.js	C:/Users/Pablo/Desktop/prueba%202/prueba%202/moonc.net/_next/static/chunks/2117-9cf6ee7a1c2d55a2.js	(from https://moonc.net/)
17:41:07	471/471	---M--	200	added ('OK')	application/javascript	etag:%22189357a99138cdb59d24e47a982c7f2b%22	https://moonc.net/_next/static/chunks/main-app-be3d940aef6bd3eb.js	C:/Users/Pablo/Desktop/prueba%202/prueba%202/moonc.net/_next/static/chunks/main-app-be3d940aef6bd3eb.js	(from https://moonc.net/)
17:41:07	16356/16356	---MCZ	200	added ('OK')	application/javascript	etag:W/%2286da92afd1cceffd6c55cb6dcd317321%22	https://moonc.net/_next/static/chunks/c16f53c3-ed3973f52c35685a.js	C:/Users/Pablo/Desktop/prueba%202/prueba%202/moonc.net/_next/static/chunks/c16f53c3-ed3973f52c35685a.js	(from https://moonc.net/)
17:41:08	1563/1563	---MCZ	200	added ('OK')	application/javascript	etag:W/%223c0ef35958b2b31a49c2d151b021e4a3%22	https://moonc.net/_next/static/chunks/53c13509-0f45496820cbc37a.js	C:/Users/Pablo/Desktop/prueba%202/prueba%202/moonc.net/_next/static/chunks/53c13509-0f45496820cbc37a.js	(from https://moonc.net/)
17:41:08	55394/55394	---MCZ	200	added ('OK')	application/javascript	etag:W/%22144e9c30f5c17cdc0dbfce301e9d5ad0%22	https://moonc.net/_next/static/chunks/4023-ecffcddb31459b17.js	C:/Users/Pablo/Desktop/prueba%202/prueba%202/moonc.net/_next/static/chunks/4023-ecffcddb31459b17.js	(from https://moonc.net/)
17:41:08	12220/12220	---MCZ	200	added ('OK')	application/javascript	etag:W/%22586ecca642eea796a818eccf73918f7a%22	https://moonc.net/_next/static/chunks/28-bb20ad3364038243.js	C:/Users/Pablo/Desktop/prueba%202/prueba%202/moonc.net/_next/static/chunks/28-bb20ad3364038243.js	(from https://moonc.net/)
17:41:09	7551/7551	---MCZ	200	added ('OK')	application/javascript	etag:W/%22994be5658b6b60edb004e9e5c957a40e%22	https://moonc.net/_next/static/chunks/4208-0c10b648a9916aa3.js	C:/Users/Pablo/Desktop/prueba%202/prueba%202/moonc.net/_next/static/chunks/4208-0c10b648a9916aa3.js	(from https://moonc.net/)
17:41:09	84120/84120	---MCZ	200	added ('OK')	application/javascript	etag:W/%224d62b9d2fa527e3f6c710197c3f65ba8%22	https://moonc.net/_next/static/chunks/5767-4390b3fd098a8eff.js	C:/Users/Pablo/Desktop/prueba%202/prueba%202/moonc.net/_next/static/chunks/5767-4390b3fd098a8eff.js	(from https://moonc.net/)
17:41:09	20630/20630	---MCZ	200	added ('OK')	application/javascript	etag:W/%22d4b10c5a91efb38c2fd1d2c909ecf074%22	https://moonc.net/_next/static/chunks/2972-d5b079e20649cd1b.js	C:/Users/Pablo/Desktop/prueba%202/prueba%202/moonc.net/_next/static/chunks/2972-d5b079e20649cd1b.js	(from https://moonc.net/)
